"correct","correct_response","image","label","response","response_time"
"1","right","impossa5.bmp","Impossible","right","4065"
"1","left","newpossi4.bmp","Possible","left","3724"
"1","right","impossi4.bmp","Impossible","right","1122"
"1","right","impossc4.bmp","Impossible","right","976"
"1","left","newpossa2.bmp","Possible","left","2588"
"1","left","newpossb2.bmp","Possible","left","2678"
"0","left","newpossc1.bmp","Possible","right","746"
"0","left","newpossi3.bmp","Possible","right","1851"
"1","right","impossi2.bmp","Impossible","right","771"
"1","right","impossg6.bmp","Impossible","right","1909"
"1","left","newpossh4.bmp","Possible","left","641"
"1","left","newpossg4.bmp","Possible","left","693"
"0","left","newpossg7.bmp","Possible","right","1378"
"1","right","impossg4.bmp","Impossible","right","827"
"1","left","newpossi5.bmp","Possible","left","596"
"1","right","impossb4.bmp","Impossible","right","853"
"1","right","impossc2.bmp","Impossible","right","696"
"1","right","impossa7.bmp","Impossible","right","605"
"1","right","impossi5.bmp","Impossible","right","1320"
"1","right","impossg5.bmp","Impossible","right","707"
"1","left","newpossa5.bmp","Possible","left","755"
"0","left","newpossh5.bmp","Possible","right","1930"
"1","right","impossa1.bmp","Impossible","right","746"
"1","right","impossc6.bmp","Impossible","right","847"
"1","right","impossa6.bmp","Impossible","right","913"
"1","right","impossc1.bmp","Impossible","right","789"
"1","left","newpossg1.bmp","Possible","left","4914"
"0","left","newpossb5.bmp","Possible","right","3037"
"0","left","newpossg8.bmp","Possible","right","929"
"1","left","newpossi1.bmp","Possible","left","671"
"1","right","impossh2.bmp","Impossible","right","1018"
"1","right","impossg3.bmp","Impossible","right","564"
"1","right","impossg7.bmp","Impossible","right","771"
"1","right","impossh6.bmp","Impossible","right","2641"
"1","right","impossg1.bmp","Impossible","right","1563"
"1","left","newpossa3.bmp","Possible","left","545"
"1","right","impossa3.bmp","Impossible","right","2415"
"1","left","newpossi6.bmp","Possible","left","726"
"1","left","newpossb3.bmp","Possible","left","875"
"1","right","impossc3.bmp","Impossible","right","819"
"1","left","newpossb1.bmp","Possible","left","2237"
"1","left","newpossg5.bmp","Possible","left","919"
"1","right","impossc5.bmp","Impossible","right","798"
"0","left","newpossg3.bmp","Possible","right","1102"
"1","right","impossh4.bmp","Impossible","right","936"
"1","left","newpossh2.bmp","Possible","left","821"
"1","right","impossg8.bmp","Impossible","right","759"
"1","right","impossi6.bmp","Impossible","right","762"
"1","right","impossi3.bmp","Impossible","right","1199"
"0","left","newpossa4.bmp","Possible","right","1556"
"1","left","newpossb4.bmp","Possible","left","554"
"1","left","newpossa7.bmp","Possible","left","1890"
"1","left","newpossc3.bmp","Possible","left","1381"
"1","right","impossg2.bmp","Impossible","right","1326"
"1","left","newpossc6.bmp","Possible","left","858"
"0","left","newpossh1.bmp","Possible","right","932"
"0","left","newpossa1.bmp","Possible","right","1978"
"1","right","impossb5.bmp","Impossible","right","927"
"0","left","newpossc5.bmp","Possible","right","2807"
"1","left","newpossg6.bmp","Possible","left","689"
"1","left","newpossi2.bmp","Possible","left","424"
"1","left","newpossb6.bmp","Possible","left","1092"
"1","right","impossa2.bmp","Impossible","right","486"
"1","left","newpossh6.bmp","Possible","left","1634"
"1","right","impossb2.bmp","Impossible","right","421"
"0","left","newpossg2.bmp","Possible","right","425"
"1","right","impossa4.bmp","Impossible","right","873"
"0","left","newpossa8.bmp","Possible","right","961"
"1","right","impossb3.bmp","Impossible","right","786"
"1","right","impossh5.bmp","Impossible","right","936"
"0","left","newpossa6.bmp","Possible","right","5748"
"1","right","impossh1.bmp","Impossible","right","633"
"1","left","newpossc4.bmp","Possible","left","1037"
"1","left","newpossc2.bmp","Possible","left","615"
"0","right","impossi1.bmp","Impossible","left","3605"
"1","right","impossb1.bmp","Impossible","right","851"
"1","left","newpossh3.bmp","Possible","left","2314"
