"correct","correct_response","image","label","response","response_time"
"1","left","newpossg7.bmp","Possible","left","1387"
"1","left","newpossg6.bmp","Possible","left","1231"
"0","right","impossc6.bmp","Impossible","left","901"
"1","left","newpossc2.bmp","Possible","left","818"
"0","right","impossa1.bmp","Impossible","left","1251"
"1","right","impossg1.bmp","Impossible","right","1075"
"1","left","newpossb1.bmp","Possible","left","1648"
"1","right","impossa6.bmp","Impossible","right","1701"
"1","right","impossb6.bmp","Impossible","right","1361"
"1","right","impossh4.bmp","Impossible","right","1458"
"1","left","newpossg4.bmp","Possible","left","882"
"0","right","impossa4.bmp","Impossible","left","1671"
"0","right","impossc2.bmp","Impossible","left","1062"
"0","right","impossh6.bmp","Impossible","left","878"
"0","right","impossb5.bmp","Impossible","left","1413"
"1","left","newpossi3.bmp","Possible","left","1202"
"0","right","impossc4.bmp","Impossible","left","1067"
"0","right","impossh1.bmp","Impossible","left","1273"
"1","right","impossb2.bmp","Impossible","right","983"
"0","left","newpossa8.bmp","Possible","right","1222"
"1","left","newpossi2.bmp","Possible","left","1286"
"0","right","impossa5.bmp","Impossible","left","2533"
"0","right","impossc3.bmp","Impossible","left","2729"
"1","right","impossa3.bmp","Impossible","right","1271"
"1","left","newpossb2.bmp","Possible","left","1016"
"0","left","newpossc5.bmp","Possible","right","1229"
"1","left","newpossc4.bmp","Possible","left","1022"
"0","left","newpossh4.bmp","Possible","right","1151"
"0","left","newpossi4.bmp","Possible","right","1069"
"1","left","newpossa7.bmp","Possible","left","1622"
"0","left","newpossg5.bmp","Possible","right","1011"
"0","left","newpossh6.bmp","Possible","right","931"
"1","left","newpossi1.bmp","Possible","left","852"
"0","left","newpossb6.bmp","Possible","right","2015"
"0","right","impossi6.bmp","Impossible","left","1160"
"1","left","newpossa1.bmp","Possible","left","1360"
"0","right","impossh5.bmp","Impossible","left","1201"
"0","left","newpossa5.bmp","Possible","right","1125"
"1","left","newpossh3.bmp","Possible","left","910"
"1","right","impossa7.bmp","Impossible","right","1709"
"1","left","newpossb3.bmp","Possible","left","922"
"1","left","newpossh2.bmp","Possible","left","1312"
"0","right","impossg2.bmp","Impossible","left","1121"
"1","right","impossh2.bmp","Impossible","right","1688"
"1","left","newpossg8.bmp","Possible","left","1693"
"0","right","impossg6.bmp","Impossible","left","1081"
"0","right","impossi3.bmp","Impossible","left","1011"
"0","left","newpossc3.bmp","Possible","right","1195"
"1","left","newpossb5.bmp","Possible","left","982"
"1","right","impossa8.bmp","Impossible","right","1156"
"0","right","impossi4.bmp","Impossible","left","1713"
"0","right","impossc1.bmp","Impossible","left","654"
"0","right","impossc5.bmp","Impossible","left","777"
"0","left","newpossa6.bmp","Possible","right","1070"
"1","left","newpossg2.bmp","Possible","left","801"
"0","right","impossh3.bmp","Impossible","left","798"
"1","left","newpossa3.bmp","Possible","left","1765"
"1","right","impossb1.bmp","Impossible","right","892"
"1","right","impossg8.bmp","Impossible","right","985"
"1","right","impossi5.bmp","Impossible","right","1790"
"0","right","impossb4.bmp","Impossible","left","1182"
"1","right","impossg7.bmp","Impossible","right","819"
"0","right","impossi1.bmp","Impossible","left","583"
"1","right","impossg4.bmp","Impossible","right","1388"
"1","right","impossa2.bmp","Impossible","right","2111"
"1","left","newpossg3.bmp","Possible","left","1095"
"0","left","newpossg1.bmp","Possible","right","844"
"0","right","impossb3.bmp","Impossible","left","2408"
"1","right","impossg5.bmp","Impossible","right","688"
