,name,acc,acc_std,val_acc,val_acc_std,loss,loss_std,val_loss,val_loss_std
0,AlexNet,0.73359375,0.04831257264204598,0.6359375,0.03984520830664586,0.524934103526175,0.12114168389567535,0.6071968406438828,0.03504088997220441
0,VGG11,0.5078125,0.012522206836756054,0.496875,0.006956196652985025,0.693748165667057,5.05356766536159,0.6930246844887733,0.004818273868980798
0,VGG16,0.484375,0.011979433873831434,0.5,0.0001554667870479116,0.6935124441981315,18.154606929450622,0.6931561037898064,0.008287286996256167
0,ResNet18,0.83984375,0.0592913035714279,0.7015625,0.052388795915729924,0.36430431008338926,0.0923672386067399,0.867570661008358,0.9273174659922524
0,ResNet50,0.81015625,0.05494513198907502,0.71875,0.06305669262160045,0.42258811593055723,0.12790009677776096,0.7051404975354671,1.3101349707096452
0,GoogLeNet,0.79375,0.06540982720972031,0.690625,0.05548459280793633,0.7146215040236712,0.1652898348971277,0.8825415804982185,0.3709488674796938
0,AlexNet Pretrained,0.7203125,0.05400624783011221,0.6875,0.04305568194845919,0.5441857166588306,0.27248226109343027,0.6275933817028999,0.13605491750250157
0,VGG11 Pretrained,0.7578125,0.06920296933192585,0.7625,0.05510260980590552,0.6290399336256087,0.23376083976579853,0.5232281737029553,0.11371760201089974
0,VGG16 Pretrained,0.6921875,0.06432094210869428,0.7375,0.05993256912394858,0.7049500703811645,0.2927537861953221,0.5340496398508549,0.18283716027160107
0,ResNet18 Pretrained,0.73046875,0.05692845777112901,0.7046875,0.05189555315727928,0.531453662738204,0.05319657357120742,0.5553299956023693,0.04910456364290907
0,ResNet50 Pretrained,0.7734375,0.05705755974900888,0.6703125,0.04592441086907784,0.4879485858604312,0.06029135606783121,0.5785797826945782,0.04173392749696071
0,GoogLeNet Pretrained,0.7140625,0.049438914205238854,0.70625,0.048283168954583705,0.5373437672853469,0.04406909766798643,0.5535550452768803,0.03892935839396154
