,epoch,acc,val_acc,loss,val_loss
0,99.0,0.78984375,0.671875,0.7128318702802062,0.9028909914195538
0,98.0,0.8109375,0.66875,0.7003130408003926,0.9805957823991776
0,97.0,0.81328125,0.671875,0.6816193794831633,0.8988776236772538
0,96.0,0.7984375,0.671875,0.723041838221252,0.8716349229216576
0,95.0,0.7921875,0.678125,0.7175346203148365,0.816227425634861
0,94.0,0.79921875,0.6640625,0.7348518747836351,1.00049749314785
0,93.0,0.77421875,0.6671875,0.7302574932575225,0.9396213240921497
0,92.0,0.80546875,0.6875,0.6873143441975117,0.8092225834727287
0,91.0,0.78828125,0.66875,0.7091414593160152,0.8920074701309204
0,90.0,0.8109375,0.684375,0.6962368972599506,0.7886011809110641
0,89.0,0.79140625,0.69375,0.7334619395434856,0.7743362233042717
0,88.0,0.7984375,0.684375,0.7210089676082134,0.8008130587637424
0,87.0,0.78515625,0.684375,0.7511755675077438,0.8696493290364742
0,86.0,0.7734375,0.6671875,0.7789872266352177,0.9031034834682942
0,85.0,0.790625,0.6703125,0.7247994348406792,0.8670815274119377
0,84.0,0.7859375,0.6609375,0.7445504281669855,0.9441141992807388
0,83.0,0.7921875,0.7,0.7558276288211345,0.8403100602328777
0,82.0,0.79140625,0.6453125,0.7519332729279995,0.9802040882408619
0,81.0,0.790625,0.65,0.7301283672451973,1.068918314576149
0,80.0,0.78515625,0.6703125,0.7835412506014109,0.8110876329243183
0,79.0,0.78125,0.6578125,0.7484888013452291,0.871525764465332
0,78.0,0.778125,0.68125,0.748789232969284,0.7288955584168434
0,77.0,0.775,0.6671875,0.7630415383726359,0.8250160813331604
0,76.0,0.77109375,0.625,0.765220532566309,1.0730063155293466
0,75.0,0.759375,0.6421875,0.7694547839462758,0.9846448987722397
0,74.0,0.77890625,0.615625,0.770676190778613,0.9283873207867146
0,73.0,0.7796875,0.665625,0.7572763912379742,0.8066224955022335
0,72.0,0.76796875,0.709375,0.7816676888614893,0.669863361120224
0,71.0,0.77265625,0.6796875,0.781328409910202,0.7406948313117028
0,70.0,0.77734375,0.65625,0.7771651342511177,0.7789924830198288
0,69.0,0.765625,0.6828125,0.8047494228929282,0.7270773954689502
0,68.0,0.7703125,0.6859375,0.7776322480291128,0.7536610595881938
0,67.0,0.76328125,0.665625,0.7893803905695677,0.8006695464253426
0,66.0,0.77265625,0.6875,0.7966586194932461,0.7493470937013627
0,65.0,0.76484375,0.6734375,0.7990746349096298,0.7505676589906216
0,64.0,0.759375,0.6671875,0.7959283661097288,0.8659329108893872
0,63.0,0.76015625,0.6328125,0.8197102006524801,0.9789992526173592
0,62.0,0.75859375,0.6453125,0.8152576740831137,0.920443219691515
0,61.0,0.74140625,0.6703125,0.8177034180611372,0.8379842042922974
0,60.0,0.7484375,0.6859375,0.8266225505620242,0.7688661038875579
0,59.0,0.75,0.6421875,0.8349470313638448,0.8554287672042846
0,58.0,0.76484375,0.675,0.8207722127437591,0.7585977710783481
0,57.0,0.75625,0.690625,0.8122342452406883,0.7737117387354374
0,56.0,0.753125,0.65625,0.8175762608647347,0.8074347846210003
0,55.0,0.7515625,0.6578125,0.8189764522016049,0.8343911655247211
0,54.0,0.75859375,0.6484375,0.8085428528487683,0.8334789663553238
0,53.0,0.72265625,0.6546875,0.860084256902337,0.8427104517817497
0,52.0,0.7421875,0.5984375,0.8402627140283585,0.9041956074535846
0,51.0,0.734375,0.678125,0.8417729679495096,0.7242083705961704
0,50.0,0.73515625,0.6421875,0.8364038344472646,0.8053812883794308
0,49.0,0.7359375,0.6484375,0.8411336295306683,0.769578629732132
0,48.0,0.73671875,0.6578125,0.8445104598999024,0.9385548956692219
0,47.0,0.72734375,0.659375,0.8465828698128461,0.7515390545129776
0,46.0,0.73359375,0.66875,0.8797866091132164,0.7793791554868221
0,45.0,0.71875,0.678125,0.8524404019117355,0.7481746278703213
0,44.0,0.73359375,0.634375,0.8479617580771446,0.8068553239107132
0,43.0,0.7359375,0.6109375,0.8621095605194569,0.8572067826986313
0,42.0,0.74609375,0.609375,0.853183276951313,0.8840301528573036
0,41.0,0.72890625,0.6328125,0.859320855140686,0.7631812751293182
0,40.0,0.72265625,0.6328125,0.8783828698098659,0.772516806423664
0,39.0,0.70546875,0.6484375,0.9260644733905792,0.7924712762236595
0,38.0,0.73046875,0.6078125,0.8704192455857992,0.9741070970892907
0,37.0,0.7421875,0.6015625,0.8711421750485897,0.8752283103764057
0,36.0,0.7203125,0.63125,0.8761523507535458,0.7730471171438694
0,35.0,0.71796875,0.6296875,0.8630289725959301,0.7936930999159812
0,34.0,0.721875,0.61875,0.8767780862748623,0.8413981795310974
0,33.0,0.72265625,0.603125,0.8872335717082024,0.8779552310705185
