,acc,epoch,loss,val_acc,val_loss
0,0.515625,0,0.7383140474557877,0.5,0.6997281908988953
0,0.453125,1,0.7370420098304749,0.46875,0.6941370666027069
0,0.625,2,0.6806937754154205,0.5,0.6934170126914978
0,0.484375,3,0.7037026137113571,0.4375,0.725620836019516
0,0.421875,4,0.7302760481834412,0.46875,0.683445930480957
0,0.609375,5,0.6776871234178543,0.40625,0.7147946357727051
0,0.5,6,0.7141554057598114,0.3125,0.7418000102043152
0,0.515625,7,0.690072551369667,0.375,0.7457960844039917
0,0.453125,8,0.7054312378168106,0.59375,0.7074321210384369
0,0.515625,9,0.67880479991436,0.46875,0.7214334905147552
0,0.671875,10,0.6673002243041992,0.46875,0.7138647437095642
0,0.609375,11,0.7055037170648575,0.625,0.6877173483371735
0,0.5625,12,0.702097550034523,0.4375,0.6995148360729218
0,0.546875,13,0.6913066357374191,0.59375,0.7115754187107086
0,0.640625,14,0.6513642966747284,0.375,0.7186887264251709
0,0.484375,15,0.7565264999866486,0.5625,0.6802800297737122
0,0.609375,16,0.6570014804601669,0.5,0.6835430264472961
0,0.625,17,0.6623900383710861,0.53125,0.7525521516799927
0,0.46875,18,0.7353438138961792,0.71875,0.7054106295108795
0,0.5,19,0.7073306441307068,0.625,0.669571578502655
0,0.578125,20,0.6792920082807541,0.46875,0.7188317179679871
0,0.59375,21,0.6896229237318039,0.59375,0.6588124930858612
0,0.4375,22,0.7202304899692535,0.5625,0.6475529968738556
0,0.625,23,0.6814090460538864,0.4375,0.7472380995750427
0,0.609375,24,0.6734393835067749,0.5625,0.7096458971500397
0,0.546875,25,0.6945797204971313,0.5625,0.6753875911235809
0,0.546875,26,0.6956081986427307,0.46875,0.7224138379096985
0,0.515625,27,0.7016492635011673,0.625,0.6631941795349121
0,0.5625,28,0.6870636940002441,0.46875,0.7214549779891968
0,0.515625,29,0.6738914400339127,0.65625,0.6382498741149902
0,0.515625,30,0.6929239481687546,0.5,0.6959172189235687
0,0.5625,31,0.6816689819097519,0.53125,0.6817713975906372
0,0.640625,32,0.6698174625635147,0.34375,0.7520668208599091
0,0.546875,33,0.6941719651222229,0.5,0.6905754804611206
0,0.546875,34,0.6626655012369156,0.40625,0.7189545631408691
0,0.4375,35,0.7546004951000214,0.3125,0.7644587457180023
0,0.453125,36,0.7453970611095428,0.625,0.6558603942394257
0,0.5,37,0.7022870779037476,0.625,0.6557421982288361
0,0.5625,38,0.6565693914890289,0.59375,0.6739805638790131
0,0.59375,39,0.6377570629119873,0.65625,0.6662851274013519
0,0.5,40,0.7197709083557129,0.5,0.7031451165676117
0,0.515625,41,0.7057544440031052,0.4375,0.6623261570930481
0,0.625,42,0.6838650554418564,0.46875,0.7216823995113373
0,0.53125,43,0.6821499317884445,0.53125,0.7077067196369171
0,0.5625,44,0.6724196076393127,0.375,0.7515869736671448
0,0.578125,45,0.6820749044418335,0.6875,0.6584995985031128
0,0.65625,46,0.6449871063232422,0.625,0.6550875306129456
0,0.5,47,0.6994298994541168,0.4375,0.7472709715366364
0,0.46875,48,0.725179985165596,0.53125,0.7542269825935364
0,0.59375,49,0.6525753289461136,0.5,0.6994426250457764
0,0.578125,50,0.6863499134778976,0.53125,0.7274585664272308
0,0.609375,51,0.6871236860752106,0.5625,0.6977856457233429
0,0.515625,52,0.683797761797905,0.46875,0.7083584070205688
0,0.46875,53,0.7323591858148575,0.46875,0.7305009961128235
0,0.46875,54,0.7442733943462372,0.59375,0.6589457392692566
0,0.546875,55,0.6993402242660522,0.46875,0.7164269685745239
