,name,acc,acc_std,val_acc,val_acc_std,loss,loss_std,val_loss,val_loss_std
0,AlexNet,0.5046875,0.011375651917273523,0.521875,0.01033406835423494,0.6941176809370517,0.2577915399749554,0.6919396787881851,0.00784708659814177
0,VGG11,0.4984375,0.01163432872925932,0.5,0.0012274330111558052,0.6930145815014839,2.205350862438537,0.693158745765686,0.0069299171031221305
0,VGG16,0.46015625,0.011771431066589516,0.5,0.0007268564593508112,0.6937590546905994,16.723874611218847,0.6931645184755325,0.022528955323515194
0,ResNet18,0.5625,0.01994043100271954,0.5359375,0.014314785570783096,0.68194325491786,0.0438895091858341,0.7050180315971375,1.8851255855112286
0,ResNet50,0.525,0.012993601471463511,0.5625,0.018895600047944366,0.7132077157497406,0.10104522482648659,0.7254254803061485,0.1797245484107118
0,GoogLeNet,0.51328125,0.012870543069593059,0.521875,0.014593607801769751,1.1215645022690297,0.07920010519776878,0.7076645031571388,0.08869890388997495
0,AlexNet (pretrained),0.51015625,0.013249327444605448,0.509375,0.015819878466268315,0.7547133333981038,0.29849350405927955,0.7139434903860092,0.09937314078717434
0,VGG11 (pretrained),0.50625,0.01210574290287336,0.5109375,0.015046315215443954,0.852247242629528,0.15478346054285372,0.719365407526493,0.10225348894170044
0,VGG16 (pretrained),0.503125,0.014570469586954805,0.528125,0.016097018782118475,0.866069221496582,0.19767580422964798,0.7090057089924813,0.09748326567534349
0,ResNet18 (pretrained),0.57734375,0.022790839459775284,0.5234375,0.017355788333345015,0.6769884780049324,0.018000603388910755,0.7328502163290977,0.01322369520080119
0,ResNet50 (pretrained),0.59921875,0.027811063647952567,0.5171875,0.01692194713742704,0.6687657430768013,0.018716987698382915,0.7389367714524269,0.013129213105344088
0,GoogLeNet (pretrained),0.565625,0.025516773167675904,0.5359375,0.017938861011084294,0.6808440189808607,0.013262029487638206,0.6991219863295555,0.007078863139528039
