,lr,bs,acc,val_acc,loss,val_loss,acc_std,loss_std,name,val_acc_std,val_loss_std
0,0.01,2,0.60625,0.60625,2.827683302760124,2.827683302760124,0.0302304139847191,0.6157472503915281,lr0.01_bs2,0.040558406958360674,0.7695818210937722
0,0.01,4,0.584375,0.65,1.5483695033937692,1.5483695033937692,0.031387136596860814,0.3732640563746616,lr0.01_bs4,0.04001420646158062,0.4307496736869549
0,0.01,8,0.66875,0.59375,1.1872236587107183,1.1872236587107183,0.03864951689542833,0.16486321866978057,lr0.01_bs8,0.04201357667468934,0.18758894551348157
0,0.01,16,0.70625,0.68125,0.6428465098142624,0.6428465098142624,0.04501357217204052,0.05658052570543612,lr0.01_bs16,0.05189604241895523,0.05453303533202093
0,0.01,32,0.725,0.6625,0.6079263746738434,0.6079263746738434,0.054658242173527674,0.048607014868838366,lr0.01_bs32,0.05797979173815649,0.04890006121154633
0,0.01,64,0.74375,0.70625,0.5644954025745392,0.5644954025745392,0.0626036250323214,0.05795952681510178,lr0.01_bs64,0.08281936292317153,0.05803647179457327
0,0.001,2,0.615625,0.63125,0.617968543805182,0.617968543805182,0.03682618591097916,0.04237132084720526,lr0.001_bs2,0.04797667890496381,0.05622645795224603
0,0.001,4,0.665625,0.65625,0.6109182152897119,0.6109182152897119,0.04327432255030112,0.03508196920122446,lr0.001_bs4,0.04589917619086426,0.039525775996234205
0,0.001,8,0.675,0.65625,0.603782694041729,0.603782694041729,0.049470872111779064,0.03943917040292001,lr0.001_bs8,0.04985333959475533,0.04043130408518683
0,0.001,16,0.68125,0.69375,0.5556569516658783,0.5556569516658783,0.06119393958708247,0.04322005971193546,lr0.001_bs16,0.06304190074862909,0.04095264805266064
0,0.001,32,0.721875,0.68125,0.5953100740909576,0.5953100740909576,0.06523703026033222,0.040145250797635056,lr0.001_bs32,0.06783190966462614,0.037528506437146274
0,0.001,64,0.7,0.66875,0.6189577400684356,0.6189577400684356,0.06826083791008941,0.03235708178978887,lr0.001_bs64,0.06659274547576485,0.02902238043345556
0,0.0001,2,0.628125,0.65,0.6310181930661202,0.6310181930661202,0.04607653280141638,0.019088763048476363,lr0.0001_bs2,0.05376812921006273,0.02448486326694263
0,0.0001,4,0.634375,0.64375,0.637189780920744,0.637189780920744,0.06091060303838733,0.02627120465001819,lr0.0001_bs4,0.0709252192012827,0.02723143234583116
0,0.0001,8,0.603125,0.66875,0.6350375860929489,0.6350375860929489,0.05288748375088381,0.022089703826761623,lr0.0001_bs8,0.058395740426849634,0.02106801885402111
0,0.0001,16,0.6,0.63125,0.6612919330596924,0.6612919330596924,0.047386573042239505,0.01613935410493186,lr0.0001_bs16,0.057205051951291865,0.01576816152104594
0,0.0001,32,0.5375,0.5875,0.6759857416152955,0.6759857416152955,0.03805930559255515,0.013509717675644147,lr0.0001_bs32,0.04784316826883437,0.011913627627264374
0,0.0001,64,0.553125,0.525,0.6913309097290039,0.6913309097290039,0.029768245455518535,0.01006060870198235,lr0.0001_bs64,0.03739668058464548,0.009756727662029627
0,1e-05,2,0.515625,0.5875,0.6828624397516251,0.6828624397516251,0.026230200866558376,0.006034173909143868,lr1e-05_bs2,0.03811675115680769,0.00884602903207116
0,1e-05,4,0.5375,0.55,0.6868902876973152,0.6868902876973152,0.029251736059591398,0.007827843675293681,lr1e-05_bs4,0.03825954741956575,0.008325949057319
0,1e-05,8,0.540625,0.475,0.7003157913684845,0.7003157913684845,0.026784440445900674,0.007664728640073475,lr1e-05_bs8,0.035952225244065224,0.008234815089769578
0,1e-05,16,0.484375,0.48125,0.7005470275878907,0.7005470275878907,0.027335784554087708,0.010459502250676605,lr1e-05_bs16,0.03437948834334216,0.007751430819131375
0,1e-05,32,0.48125,0.5,0.6992339551448822,0.6992339551448822,0.025740498095170962,0.0071324605662924445,lr1e-05_bs32,0.03526440308583147,0.00886684340616899
0,1e-05,64,0.515625,0.45,0.7121951401233673,0.7121951401233673,0.024796515632241556,0.008594269453443788,lr1e-05_bs64,0.03142451272494134,0.007497575838003193
0,1e-06,2,0.50625,0.53125,0.6913895215839148,0.6913895215839148,0.02685571619204187,0.006624367755975585,lr1e-06_bs2,0.033357146441954526,0.008288162273730101
0,1e-06,4,0.5,0.525,0.704520408809185,0.704520408809185,0.023474970047904217,0.007043821431260042,lr1e-06_bs4,0.030259296092275515,0.008197226112787823
0,1e-06,8,0.453125,0.4875,0.7027601778507233,0.7027601778507233,0.01759624760247195,0.006669762571875496,lr1e-06_bs8,0.026747955529348406,0.007934357439676349
0,1e-06,16,0.53125,0.51875,0.7020247459411622,0.7020247459411622,0.028118818765197083,0.008351851476151194,lr1e-06_bs16,0.028824360357170117,0.0064971199925204625
0,1e-06,32,0.49375,0.45625,0.7128145396709442,0.7128145396709442,0.0223759601749288,0.009024679725182321,lr1e-06_bs32,0.0258976350271603,0.007126308010365868
0,1e-06,64,0.525,0.53125,0.7037793517112731,0.7037793517112731,0.020584809326296902,0.008082298378729705,lr1e-06_bs64,0.02449362161869902,0.00766391589961562
