,epoch,acc,val_acc,loss,val_loss
0,99,0.6875,0.6875,0.6140306703746319,0.6212219744920731
0,98,0.625,0.53125,0.6434543207287788,0.6375799775123596
0,97,0.6875,0.65625,0.6245122328400612,0.6199125200510025
0,96,0.5625,0.75,0.6480608806014061,0.5996142327785492
0,95,0.5625,0.78125,0.6418139934539795,0.6193031966686249
0,94,0.609375,0.65625,0.6422196626663208,0.6455565989017487
0,93,0.703125,0.5625,0.5935874544084072,0.6464932858943939
0,92,0.53125,0.59375,0.6708876714110374,0.6559160053730011
0,91,0.71875,0.59375,0.5941306799650192,0.6553520113229752
0,90,0.75,0.65625,0.6177146732807159,0.6212023198604584
0,89,0.765625,0.71875,0.6009527966380119,0.5895274132490158
0,88,0.703125,0.65625,0.6319984048604965,0.6430880725383759
0,87,0.671875,0.65625,0.6357085406780243,0.6571337878704071
0,86,0.625,0.59375,0.6584267243742943,0.6686019748449326
0,85,0.703125,0.8125,0.6214490979909897,0.5972694456577301
0,84,0.671875,0.78125,0.648852750658989,0.6221758276224136
0,83,0.625,0.65625,0.6320102661848068,0.6432259529829025
0,82,0.59375,0.65625,0.6559912115335464,0.6752080768346786
0,81,0.71875,0.6875,0.6257268711924553,0.6315093636512756
0,80,0.65625,0.59375,0.6408749520778656,0.6560453623533249
0,79,0.65625,0.53125,0.6243368685245514,0.6662033796310425
0,78,0.734375,0.65625,0.6190223395824432,0.6604641675949097
0,77,0.6875,0.65625,0.6234654597938061,0.6711149215698242
0,76,0.6875,0.78125,0.6327634379267693,0.5989896655082703
0,75,0.578125,0.65625,0.6647186055779457,0.6508337408304214
0,74,0.640625,0.65625,0.6484415754675865,0.6676386445760727
0,73,0.625,0.875,0.671873927116394,0.5849107652902603
0,72,0.65625,0.625,0.6511648297309875,0.6543234586715698
0,71,0.734375,0.625,0.6205936595797539,0.6499444991350174
0,70,0.5625,0.6875,0.6624591797590256,0.6488600671291351
0,69,0.640625,0.78125,0.6400735601782799,0.6473523378372192
0,68,0.65625,0.78125,0.6162854060530663,0.6008797138929367
0,67,0.8125,0.625,0.6200595796108246,0.6743209213018417
0,66,0.65625,0.53125,0.6300441175699234,0.660756066441536
0,65,0.671875,0.625,0.643490731716156,0.6454195827245712
0,64,0.734375,0.65625,0.6196516454219818,0.6577616184949875
0,63,0.671875,0.71875,0.6506496742367744,0.6282986849546432
0,62,0.59375,0.625,0.6760333403944969,0.6508526504039764
0,61,0.609375,0.6875,0.6413271278142929,0.6636200696229935
0,60,0.640625,0.71875,0.6511594280600548,0.6153843849897385
0,59,0.546875,0.625,0.6654504910111427,0.637434110045433
0,58,0.71875,0.625,0.6230646222829819,0.664760947227478
0,57,0.75,0.59375,0.6247747167944908,0.6721879541873932
0,56,0.609375,0.625,0.647073395550251,0.6756883859634399
0,55,0.703125,0.71875,0.6474531218409538,0.6400895118713379
0,54,0.53125,0.6875,0.6758038401603699,0.6461669504642487
0,53,0.640625,0.53125,0.6461646631360054,0.6664556711912155
0,52,0.671875,0.625,0.6425062566995621,0.6861404776573181
