,epoch,acc,val_acc,loss,val_loss
0,99,0.71875,0.71875,0.6186439320445061,0.5272958092391491
0,98,0.734375,0.71875,0.5299985185265541,0.5319551639258862
0,97,0.703125,0.6875,0.5729333851486444,0.5379992350935936
0,96,0.640625,0.625,0.7015236187726259,0.5536079481244087
0,95,0.625,0.71875,0.5917832842096686,0.5840981751680374
0,94,0.640625,0.625,0.6053213458508253,0.6306764669716358
0,93,0.734375,0.8125,0.5097172949463129,0.49905648827552795
0,92,0.671875,0.625,0.5669968007132411,0.6171749942004681
0,91,0.71875,0.84375,0.578670235350728,0.459408912807703
0,90,0.59375,0.8125,0.6940265167504549,0.5509346500039101
0,89,0.625,0.8125,0.6698674634099007,0.41569093614816666
0,88,0.671875,0.71875,0.612397669814527,0.44506129808723927
0,87,0.75,0.6875,0.5534008629620075,0.4974222369492054
0,86,0.671875,0.78125,0.6077924817800522,0.46332929469645023
0,85,0.609375,0.65625,0.6995110046118498,0.6049595475196838
0,84,0.65625,0.6875,0.6564759351313114,0.49591671489179134
0,83,0.671875,0.71875,0.6451446795836091,0.5498129725456238
0,82,0.734375,0.625,0.5599372936412692,0.7121179960668087
0,81,0.6875,0.59375,0.6475019855424762,0.6960868667811155
0,80,0.59375,0.65625,0.6156444102525711,0.6366333123296499
0,79,0.625,0.78125,0.6304143322631717,0.44703288190066814
0,78,0.65625,0.59375,0.650461683049798,0.6710532903671265
0,77,0.5625,0.75,0.6976277977228165,0.4778825715184212
0,76,0.734375,0.75,0.6188287120312452,0.5704403221607208
0,75,0.65625,0.625,0.6056764554232359,0.6288471892476082
0,74,0.640625,0.625,0.6153775360435247,0.5939609855413437
0,73,0.75,0.71875,0.5705856792628765,0.517783872783184
0,72,0.75,0.53125,0.5015863701701164,0.707978967577219
0,71,0.65625,0.625,0.5998689774423838,0.6268618926405907
0,70,0.71875,0.71875,0.5166714731603861,0.5768015198409557
0,69,0.75,0.625,0.5648861611261964,0.6077594459056854
0,68,0.671875,0.65625,0.6496330611407757,0.5653479546308517
0,67,0.703125,0.65625,0.5688794357702136,0.5944958068430424
0,66,0.625,0.75,0.6566514205187559,0.5234841555356979
0,65,0.640625,0.75,0.6983073893934488,0.49791889637708664
0,64,0.671875,0.8125,0.6046407427638769,0.4702739231288433
0,63,0.65625,0.625,0.5915547423064709,0.6365677751600742
0,62,0.609375,0.75,0.6588757978752255,0.49423636868596077
0,61,0.609375,0.5,0.6294633662328124,0.6472421549260616
0,60,0.5625,0.71875,0.726870721206069,0.5177525617182255
0,59,0.59375,0.71875,0.7283189073204994,0.5750904455780983
0,58,0.8125,0.6875,0.4927725978195667,0.5477472450584173
0,57,0.703125,0.6875,0.539661219343543,0.5858860947191715
0,56,0.703125,0.78125,0.5597408544272184,0.5161818191409111
0,55,0.609375,0.625,0.6363505329936743,0.5747630000114441
0,54,0.6875,0.65625,0.6073289131745696,0.6370818242430687
0,53,0.59375,0.625,0.6417875271290541,0.5738572739064693
0,52,0.703125,0.625,0.6146481037139893,0.6452645286917686
0,51,0.734375,0.8125,0.5624263025820255,0.5018992982804775
0,50,0.765625,0.75,0.5673668477684259,0.666794165968895
0,49,0.5,0.78125,0.7490213066339493,0.5319851487874985
0,48,0.640625,0.78125,0.649263508617878,0.5742039754986763
0,47,0.59375,0.71875,0.6762923020869493,0.5341407954692841
0,46,0.609375,0.78125,0.6740251816809177,0.484024316072464
0,45,0.640625,0.71875,0.6257893908768892,0.5621412917971611
0,44,0.640625,0.6875,0.6333465669304132,0.6116550117731094
0,43,0.75,0.625,0.5358915412798524,0.6506341472268105
0,42,0.609375,0.78125,0.744901180267334,0.5414876602590084
0,41,0.625,0.59375,0.666330136358738,0.627427663654089
0,40,0.625,0.6875,0.6582707306370139,0.5793846286833286
0,39,0.671875,0.75,0.6387141663581133,0.5422338284552097
0,38,0.6875,0.65625,0.5572039354592562,0.6421971134841442
0,37,0.609375,0.75,0.644497524946928,0.5742240436375141
0,36,0.640625,0.625,0.7093709651380777,0.6297146454453468
0,35,0.65625,0.65625,0.6551121175289154,0.6235476396977901
0,34,0.65625,0.71875,0.5979858450591564,0.5729291029274464
0,33,0.578125,0.625,0.7409757059067488,0.7173570469021797
0,32,0.625,0.6875,0.6262733656913042,0.5670109391212463
0,31,0.609375,0.78125,0.6176687926054001,0.5342027693986893
0,30,0.5625,0.53125,0.6646392606198788,0.7280822098255157
0,29,0.6875,0.65625,0.6781581323593855,0.6743908748030663
0,28,0.671875,0.53125,0.6299805399030447,0.7144462428987026
0,27,0.671875,0.6875,0.5783636923879385,0.516759742051363
0,26,0.640625,0.625,0.5986549519002438,0.6554528698325157
0,25,0.59375,0.75,0.6839512009173632,0.5415061973035336
0,24,0.625,0.8125,0.6209907755255699,0.5497143901884556
0,23,0.53125,0.71875,0.7170036006718874,0.6133413165807724
0,22,0.609375,0.6875,0.6707618273794651,0.5528785139322281
0,21,0.65625,0.65625,0.6517306454479694,0.5487688519060612
0,20,0.6875,0.59375,0.6122760511934757,0.6392983756959438
0,19,0.609375,0.71875,0.6433283481746912,0.5745539367198944
0,18,0.625,0.65625,0.6260435488075018,0.6137097366154194
0,17,0.609375,0.59375,0.6966985445469618,0.5986707210540771
0,16,0.609375,0.75,0.6248250957578421,0.5465873405337334
0,15,0.59375,0.78125,0.6926903054118156,0.550199955701828
0,14,0.640625,0.5625,0.6338924132287502,0.6966224610805511
0,13,0.625,0.78125,0.6782071273773909,0.614122785627842
0,12,0.65625,0.71875,0.6249855607748032,0.6310940831899643
0,11,0.65625,0.53125,0.5825253538787365,0.6406080797314644
0,10,0.515625,0.5625,0.6778186019510031,0.6352793723344803
0,9,0.59375,0.625,0.7177241034805775,0.6537257805466652
0,8,0.609375,0.65625,0.720103032886982,0.5901233442127705
0,7,0.609375,0.5625,0.6784032247960567,0.6570139303803444
0,6,0.53125,0.4375,0.6820583734661341,0.7008937187492847
0,5,0.578125,0.5625,0.684244716539979,0.7050405405461788
0,4,0.5,0.71875,0.6702265590429306,0.6008406728506088
0,3,0.484375,0.6875,0.7114529870450497,0.6424386650323868
0,2,0.40625,0.53125,0.8122736774384975,0.7005884498357773
0,1,0.640625,0.53125,0.6639449745416641,0.7306153997778893
0,0,0.546875,0.5,0.702499745413661,0.7425149232149124
