,epoch,acc,val_acc,loss,val_loss
0,99,0.71875,0.71875,0.6328223943710327,0.6915110349655151
0,98,0.65625,0.65625,0.7091578990221024,0.798580527305603
0,97,0.6875,0.65625,0.6504145637154579,0.5121519565582275
0,96,0.65625,0.75,0.7986309826374054,0.5370684713125229
0,95,0.640625,0.59375,0.8805041015148163,0.6373147070407867
0,94,0.703125,0.625,0.8762680441141129,0.6913926899433136
0,93,0.625,0.71875,0.9413011968135834,0.7745314836502075
0,92,0.625,0.65625,1.0816775262355804,0.6453604698181152
0,91,0.625,0.75,0.8863609656691551,0.5686216354370117
0,90,0.734375,0.59375,0.5119635686278343,0.9102649390697479
0,89,0.6875,0.78125,0.749851867556572,0.5276092886924744
0,88,0.625,0.8125,0.8700877279043198,0.4692939221858978
0,87,0.84375,0.65625,0.432037815451622,0.6698206663131714
0,86,0.65625,0.65625,0.7585838288068771,0.6183945089578629
0,85,0.6875,0.75,0.669506847858429,0.4607425928115845
0,84,0.71875,0.71875,0.5695913508534431,0.5367290079593658
0,83,0.640625,0.6875,0.691355437040329,0.6831326186656952
0,82,0.671875,0.71875,0.6691618710756302,0.4910467490553856
0,81,0.703125,0.65625,0.6097573563456535,0.7199936211109161
0,80,0.75,0.6875,0.5611199513077736,0.6604359745979309
0,79,0.59375,0.65625,0.6950210183858871,0.6236031502485275
0,78,0.78125,0.6875,0.46790114790201187,0.61257204413414
0,77,0.75,0.6875,0.5484695732593536,0.5730705559253693
0,76,0.6875,0.78125,0.5434980317950249,0.5352319478988647
0,75,0.78125,0.6875,0.550949938595295,0.6603934466838837
0,74,0.765625,0.59375,0.5014771074056625,0.881169319152832
0,73,0.765625,0.78125,0.523440957069397,0.6056759208440781
0,72,0.703125,0.65625,0.613821417093277,0.5575822591781616
0,71,0.71875,0.65625,0.5948002636432648,0.7338163256645203
0,70,0.65625,0.5625,0.6984509900212288,0.8006640374660492
0,69,0.734375,0.71875,0.5020248666405678,0.7300936281681061
0,68,0.71875,0.78125,0.5878122448921204,0.5703516602516174
0,67,0.765625,0.6875,0.45853641629219055,0.5260508060455322
0,66,0.65625,0.625,0.6253199726343155,0.6927158534526825
0,65,0.625,0.6875,0.6463529914617538,0.6820876896381378
0,64,0.6875,0.65625,0.7338110059499741,0.5687310695648193
0,63,0.625,0.75,0.7658276855945587,0.5902438759803772
0,62,0.515625,0.625,0.8904619067907333,0.6143545806407928
0,61,0.671875,0.71875,0.6330774873495102,0.5566523969173431
0,60,0.734375,0.6875,0.5580792129039764,0.7090646624565125
0,59,0.734375,0.65625,0.5521289482712746,0.659965306520462
0,58,0.75,0.78125,0.565743762999773,0.5695627927780151
0,57,0.578125,0.75,0.83062644302845,0.4542264938354492
0,56,0.71875,0.78125,0.6316979303956032,0.5988560616970062
0,55,0.78125,0.5,0.4777338057756424,0.9497478306293488
0,54,0.625,0.65625,0.7764867395162582,0.6412401795387268
