,acc,epoch,loss,val_acc,val_loss
0,0.50546875,0.0,4.220465599000454,0.5015625,0.7273728817701339
0,0.49296875,1.0,0.7159878082573414,0.4984375,0.6996094390749932
0,0.49453125,2.0,0.7080268770456314,0.5140625,0.6957260340452194
0,0.5203125,3.0,0.6928963035345077,0.5171875,0.7024864077568054
0,0.53515625,4.0,0.6956476330757141,0.5359375,0.7197444275021553
0,0.56796875,5.0,0.6963317349553109,0.5421875,0.727551919221878
0,0.57578125,6.0,0.686286649480462,0.584375,0.6950980305671692
0,0.6015625,7.0,0.6789474289864301,0.55625,0.7496330797672272
0,0.63125,8.0,0.6586063291877509,0.5703125,0.7620886996388435
0,0.63671875,9.0,0.6436619486659765,0.5734375,0.7304606571793556
0,0.678125,10.0,0.6141082964837551,0.6265625,0.778684689104557
0,0.68984375,11.0,0.623777100071311,0.6125,0.776757700741291
0,0.703125,12.0,0.5891624158248305,0.6171875,0.7230102628469467
0,0.72734375,13.0,0.5471070291474461,0.6421875,0.7062266208231449
0,0.753125,14.0,0.5436122439801693,0.6859375,0.6460097268223762
0,0.76953125,15.0,0.47492541652172804,0.70625,0.6222277641296386
0,0.796875,16.0,0.43388659083284437,0.7203125,0.6893335634842515
0,0.8234375,17.0,0.40142856277525424,0.7296875,0.6092321017757059
0,0.828125,18.0,0.4829313062131405,0.7203125,0.7399762697517872
0,0.84296875,19.0,0.5053708488354459,0.7609375,0.6249503321945667
0,0.85078125,20.0,0.3306214632932097,0.7734375,0.5656291265971959
0,0.86796875,21.0,0.30369125180877743,0.7921875,0.48063454162329433
0,0.8765625,22.0,0.35457071610726415,0.7734375,0.688700034096837
0,0.8609375,23.0,0.37930958908982576,0.790625,0.5912069888785482
0,0.884375,24.0,0.2849469505250454,0.8125,0.5588085211813449
0,0.8984375,25.0,0.28117332560941577,0.8203125,0.49816683065146206
0,0.9015625,26.0,0.28398587193805724,0.825,0.5629508916288615
0,0.90390625,27.0,0.26712789232842626,0.84375,0.43515285244211555
0,0.91484375,28.0,0.228905131155625,0.85,0.4069941940717399
0,0.9375,29.0,0.18664221200160683,0.8703125,0.3971964246593416
0,0.94140625,30.0,0.20086321423295886,0.8234375,1.116655186843127
0,0.93125,31.0,0.502149600116536,0.859375,0.6708241526968777
0,0.91171875,32.0,0.25080728258471935,0.84375,0.4790478780865669
0,0.9140625,33.0,0.2969885696657002,0.8765625,0.3838601197581738
0,0.92578125,34.0,0.1844917972572148,0.915625,0.28229132648557426
0,0.93984375,35.0,0.1683922825846821,0.884375,0.41380148991011084
0,0.9390625,36.0,0.20091513383667917,0.9,0.5446870631538332
0,0.9359375,37.0,0.23710880535654724,0.890625,0.41111900699324905
0,0.9359375,38.0,0.2081889438442886,0.8984375,0.2873288542497903
0,0.95234375,39.0,0.1504666424356401,0.9,0.37471921229735017
0,0.93828125,40.0,0.16435929434373975,0.9109375,0.28778248028829695
0,0.92890625,41.0,0.22320666047744453,0.88125,0.7518589951097965
0,0.9453125,42.0,0.27788104796782137,0.9234375,0.34261078643612564
0,0.93515625,43.0,0.17416915944777428,0.91875,0.24479644563980402
0,0.953125,44.0,0.14906867672689258,0.94375,0.2611228718422353
0,0.96015625,45.0,0.1396808235673234,0.925,0.3387773887719959
0,0.959375,46.0,0.09398185925092548,0.928125,0.352357975486666
0,0.9703125,47.0,0.14674938411917537,0.9328125,0.2599348441697657
0,0.9640625,48.0,0.1173472796101123,0.940625,0.308873341884464
0,0.96015625,49.0,0.17383360886014998,0.940625,0.2759582623373717
0,0.95703125,50.0,0.17407450324390084,0.9296875,0.288261089194566
0,0.96328125,51.0,0.15250522871501743,0.921875,0.734992314921692
0,0.95234375,52.0,0.3212967325700447,0.9453125,0.2051674961578101
0,0.95,53.0,0.17720813455525786,0.8859375,0.7401621276512742
0,0.92265625,54.0,0.33917918235529215,0.871875,0.404060458811
0,0.93046875,55.0,0.37755602565594015,0.89375,0.3787824143655598
0,0.9171875,56.0,0.25770414939615877,0.9078125,0.21850213971920313
0,0.8953125,57.0,0.4226451507303864,0.90625,0.3972808762919158
