,epoch,acc,val_acc,loss,val_loss
0,99,0.71875,0.78125,0.6759055480360985,0.6051655113697052
0,98,0.828125,0.78125,0.4014081135392189,0.4779932349920273
0,97,0.75,0.625,0.4953809306025505,0.5578410923480988
0,96,0.671875,0.6875,0.5743081495165825,0.5830017924308777
0,95,0.703125,0.625,0.5616465732455254,0.614411473274231
0,94,0.71875,0.71875,0.5923366919159889,0.509394496679306
0,93,0.734375,0.75,0.48839379847049713,0.603510707616806
0,92,0.75,0.78125,0.47738781571388245,0.45372557640075684
0,91,0.734375,0.59375,0.524120382964611,0.709642767906189
0,90,0.578125,0.8125,0.7677105814218521,0.48262596130371094
0,89,0.609375,0.65625,0.91316157579422,0.5450599491596222
0,88,0.640625,0.6875,0.649566724896431,0.6333126723766327
0,87,0.71875,0.5,0.5499615892767906,0.6398421227931976
0,86,0.703125,0.84375,0.6016767472028732,0.5261582136154175
0,85,0.671875,0.625,0.5889246314764023,0.6059467196464539
0,84,0.75,0.6875,0.5677045658230782,0.6824173331260681
0,83,0.734375,0.6875,0.6400048807263374,0.5906772613525391
0,82,0.796875,0.59375,0.42636197805404663,0.8917749226093292
0,81,0.765625,0.71875,0.44311726093292236,0.5686493515968323
0,80,0.734375,0.6875,0.5688881278038025,0.574386864900589
0,79,0.75,0.5625,0.4926900267601013,0.6592237949371338
0,78,0.671875,0.71875,0.6198027357459068,0.5047538727521896
0,77,0.703125,0.625,0.6120151877403259,0.9460594058036804
0,76,0.71875,0.59375,0.48347099125385284,0.6057922542095184
0,75,0.75,0.5625,0.5792134255170822,0.7058960199356079
0,74,0.65625,0.6875,0.5477362647652626,0.6260470151901245
0,73,0.71875,0.71875,0.5748589485883713,0.6113235950469971
0,72,0.65625,0.625,0.6880685389041901,0.5917278826236725
0,71,0.6875,0.71875,0.6263818889856339,0.5966126620769501
0,70,0.75,0.625,0.4887787997722626,0.652811735868454
0,69,0.71875,0.8125,0.5939390659332275,0.45767608284950256
0,68,0.75,0.71875,0.4402424097061157,0.5788561999797821
0,67,0.6875,0.65625,0.6392064914107323,0.616723358631134
0,66,0.703125,0.71875,0.5463139563798904,0.6038990020751953
0,65,0.671875,0.65625,0.7208901718258858,0.5942035615444183
0,64,0.625,0.5,0.802069216966629,1.0452902019023895
0,63,0.703125,0.53125,0.5727305561304092,0.9044693410396576
0,62,0.703125,0.625,0.6078115254640579,0.6655192673206329
0,61,0.65625,0.65625,0.6635237112641335,0.6092548370361328
0,60,0.59375,0.5625,0.8316019624471664,0.7520171999931335
0,59,0.703125,0.65625,0.8600841090083122,0.6526921391487122
0,58,0.796875,0.65625,0.4276380389928818,0.7945863306522369
0,57,0.671875,0.75,0.6533661186695099,0.6404425203800201
0,56,0.765625,0.65625,0.4624195545911789,0.6328916549682617
0,55,0.671875,0.65625,0.734203539788723,0.6075887084007263
0,54,0.71875,0.625,0.5857714936137199,0.6726696193218231
0,53,0.765625,0.5625,0.568723738193512,0.6654684841632843
0,52,0.625,0.75,0.7762328684329987,0.5383745431900024
0,51,0.703125,0.65625,0.6309584304690361,0.6756613552570343
0,50,0.65625,0.5,0.6482584476470947,0.9023878872394562
0,49,0.6875,0.625,0.5583058744668961,0.5836095809936523
0,48,0.625,0.59375,0.8166860342025757,0.6780571937561035
0,47,0.75,0.75,0.49333902075886726,0.5205371975898743
0,46,0.71875,0.65625,0.5823100060224533,0.7648562788963318
0,45,0.609375,0.5625,0.7584177851676941,0.8016115128993988
0,44,0.609375,0.5625,0.8193945288658142,0.734639048576355
0,43,0.59375,0.75,0.7672467678785324,0.5262622684240341
0,42,0.703125,0.59375,0.5778597742319107,0.7722462117671967
0,41,0.671875,0.71875,0.6683666780591011,0.5260694622993469
0,40,0.65625,0.5625,0.812530167400837,0.6998163759708405
0,39,0.78125,0.5625,0.48778705298900604,1.0351108014583588
0,38,0.640625,0.5,0.7347756326198578,0.8518452644348145
0,37,0.65625,0.65625,0.727500855922699,0.672576904296875
0,36,0.671875,0.78125,0.7730381414294243,0.548171877861023
0,35,0.609375,0.59375,0.6377016603946686,0.5817067921161652
0,34,0.578125,0.625,0.8026512563228607,0.586441695690155
0,33,0.65625,0.5625,0.8885630220174789,0.7359801530838013
0,32,0.6875,0.5,0.7361003309488297,1.1971263885498047
0,31,0.640625,0.59375,0.6321936845779419,0.7173735499382019
0,30,0.546875,0.71875,0.8385256826877594,0.5659576654434204
0,29,0.609375,0.71875,0.7697115838527679,0.6296407580375671
0,28,0.625,0.53125,0.6796407848596573,0.6909680664539337
0,27,0.671875,0.6875,0.6013419330120087,0.5953517258167267
0,26,0.546875,0.65625,0.7102308124303818,0.5752760171890259
0,25,0.578125,0.78125,0.7940615117549896,0.5308636426925659
0,24,0.59375,0.59375,0.768672451376915,0.8368145227432251
0,23,0.625,0.53125,0.7498982548713684,0.7486353814601898
0,22,0.59375,0.71875,0.8610269278287888,0.5437073111534119
0,21,0.671875,0.625,0.651840828359127,0.7183857858181
0,20,0.65625,0.5,0.5849568992853165,0.7160999178886414
0,19,0.625,0.65625,0.6349836885929108,0.6652303040027618
0,18,0.671875,0.65625,0.6091827601194382,0.6469421088695526
0,17,0.625,0.6875,0.7164173275232315,0.5903654396533966
0,16,0.625,0.625,0.6679312288761139,0.7085669338703156
0,15,0.546875,0.59375,0.789919301867485,0.6695916950702667
0,14,0.546875,0.59375,0.7294823974370956,0.7082812488079071
0,13,0.640625,0.53125,0.7068802863359451,0.7230146527290344
0,12,0.5625,0.5625,0.739485040307045,0.6394802033901215
0,11,0.6875,0.53125,0.6329823881387711,0.764256626367569
0,10,0.578125,0.5,0.7883925884962082,0.7192160785198212
0,9,0.546875,0.5,0.8950850963592529,0.800530731678009
0,8,0.609375,0.5,0.7696609944105148,1.0455293655395508
0,7,0.609375,0.5625,0.6907682716846466,0.6396366655826569
0,6,0.453125,0.6875,0.865988552570343,0.6657487452030182
0,5,0.5,0.5,0.9053806215524673,0.861530065536499
0,4,0.5,0.5,0.8867242634296417,0.6894186437129974
0,3,0.5625,0.5,0.8423871695995331,0.9664149284362793
0,2,0.515625,0.5,0.9654973298311234,1.0388322472572327
0,1,0.5625,0.5,1.1242037266492844,0.8603344261646271
0,0,0.5,0.5,3.4574495404958725,1.6112232208251953
