,epoch,acc,val_acc,loss,val_loss
0,99,0.625,0.71875,0.6057093814015388,0.4832679331302643
0,98,0.609375,0.78125,0.6408552676439285,0.48005886375904083
0,97,0.6875,0.59375,0.5340103805065155,0.6521210372447968
0,96,0.71875,0.71875,0.541756734251976,0.5215117186307907
0,95,0.78125,0.75,0.4676709547638893,0.540035218000412
0,94,0.78125,0.65625,0.4932173192501068,0.5141860693693161
0,93,0.640625,0.6875,0.5650411695241928,0.5855430364608765
0,92,0.75,0.75,0.5475121289491653,0.5229632556438446
0,91,0.75,0.78125,0.5348380506038666,0.47517675161361694
0,90,0.75,0.8125,0.47041379660367966,0.4806240200996399
0,89,0.671875,0.65625,0.6091258525848389,0.6254726052284241
0,88,0.71875,0.6875,0.5050574690103531,0.626922607421875
0,87,0.71875,0.53125,0.5503143295645714,0.6635607779026031
0,86,0.8125,0.71875,0.4769101217389107,0.5714946091175079
0,85,0.71875,0.75,0.5575593262910843,0.5773078501224518
0,84,0.6875,0.75,0.5494558736681938,0.5104516297578812
0,83,0.65625,0.6875,0.5506237596273422,0.5427945256233215
0,82,0.625,0.625,0.6375585496425629,0.5451847612857819
0,81,0.671875,0.78125,0.6023765206336975,0.5070630609989166
0,80,0.71875,0.65625,0.5511988550424576,0.5848982036113739
0,79,0.703125,0.75,0.5254573076963425,0.559960663318634
0,78,0.78125,0.625,0.5066851451992989,0.601644903421402
0,77,0.78125,0.75,0.46561193466186523,0.5829666256904602
0,76,0.78125,0.78125,0.4687594994902611,0.5289603918790817
0,75,0.671875,0.65625,0.5951637476682663,0.5971108973026276
0,74,0.75,0.75,0.49340276420116425,0.5862058997154236
0,73,0.6875,0.6875,0.5941532850265503,0.5788899958133698
0,72,0.734375,0.71875,0.5426799729466438,0.5078003704547882
0,71,0.71875,0.8125,0.5898628532886505,0.48612989485263824
0,70,0.8125,0.71875,0.47522297501564026,0.603966236114502
0,69,0.765625,0.65625,0.5245276913046837,0.5715611279010773
0,68,0.734375,0.71875,0.5637091025710106,0.5567750930786133
0,67,0.734375,0.65625,0.5151313468813896,0.6125253140926361
0,66,0.734375,0.625,0.5805423855781555,0.6466781795024872
0,65,0.703125,0.8125,0.5647987276315689,0.510776549577713
0,64,0.78125,0.625,0.49506257474422455,0.612781435251236
0,63,0.65625,0.8125,0.5488757938146591,0.491814523935318
0,62,0.75,0.6875,0.5705829560756683,0.5709169805049896
0,61,0.59375,0.6875,0.7061474621295929,0.5983418226242065
0,60,0.6875,0.65625,0.6423749327659607,0.5622876286506653
0,59,0.734375,0.59375,0.5495273023843765,0.6109495162963867
0,58,0.796875,0.6875,0.5148273929953575,0.5813349485397339
0,57,0.640625,0.78125,0.6562049388885498,0.4725373685359955
0,56,0.765625,0.5625,0.4836844876408577,0.6302945613861084
0,55,0.703125,0.6875,0.5650384053587914,0.5435647070407867
0,54,0.71875,0.59375,0.5701569989323616,0.5872356295585632
0,53,0.703125,0.6875,0.5562359169125557,0.5842398405075073
0,52,0.734375,0.6875,0.5737836807966232,0.542399525642395
0,51,0.71875,0.71875,0.5763583183288574,0.5205646306276321
0,50,0.8125,0.5625,0.5194183737039566,0.6665185689926147
0,49,0.703125,0.65625,0.5643230825662613,0.5697044432163239
0,48,0.703125,0.6875,0.5893725454807281,0.575637698173523
0,47,0.796875,0.75,0.5605016648769379,0.5900672674179077
0,46,0.71875,0.71875,0.5503858923912048,0.5540249347686768
0,45,0.671875,0.75,0.5962230116128922,0.542817622423172
0,44,0.703125,0.625,0.5535922348499298,0.6143172681331635
0,43,0.625,0.75,0.5749806314706802,0.5785349607467651
0,42,0.703125,0.71875,0.612254723906517,0.609707236289978
0,41,0.734375,0.75,0.5695568919181824,0.48537637293338776
0,40,0.71875,0.71875,0.5711000710725784,0.641385018825531
0,39,0.765625,0.65625,0.533963680267334,0.6083492636680603
0,38,0.625,0.6875,0.6374822556972504,0.5892170965671539
0,37,0.6875,0.65625,0.5922041982412338,0.5948295295238495
0,36,0.71875,0.65625,0.5601778104901314,0.6024068295955658
0,35,0.65625,0.65625,0.6359385401010513,0.5559475123882294
0,34,0.671875,0.65625,0.5952510982751846,0.5844776928424835
0,33,0.671875,0.59375,0.6300127655267715,0.6351073384284973
0,32,0.71875,0.78125,0.5490386709570885,0.555414229631424
0,31,0.828125,0.71875,0.5273868143558502,0.5603564977645874
0,30,0.65625,0.625,0.6004765182733536,0.6338220238685608
0,29,0.734375,0.625,0.5541946887969971,0.5568811595439911
0,28,0.71875,0.65625,0.5779385417699814,0.6011144816875458
0,27,0.78125,0.625,0.555719718337059,0.6626013219356537
0,26,0.59375,0.65625,0.6038809269666672,0.5850280225276947
0,25,0.78125,0.5625,0.574381485581398,0.6389793753623962
0,24,0.625,0.71875,0.6158013045787811,0.6019261181354523
0,23,0.734375,0.625,0.6041773036122322,0.6242488622665405
0,22,0.671875,0.65625,0.6154655069112778,0.5701999366283417
0,21,0.625,0.6875,0.6344670951366425,0.599940150976181
