,img_name,img_path,n_correct,n_nans,n_poss_preds
38,newpossa8.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossa8.bmp,14.0,5.0,14.0
39,newpossb1.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossb1.bmp,15.0,6.0,15.0
40,newpossb2.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossb2.bmp,11.0,6.0,11.0
41,newpossb3.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossb3.bmp,16.0,5.0,16.0
42,newpossb4.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossb4.bmp,14.0,5.0,14.0
43,newpossb6.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossb6.bmp,11.0,4.0,11.0
44,newpossc1.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossc1.bmp,13.0,3.0,13.0
45,newpossc3.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossc3.bmp,11.0,9.0,11.0
46,newpossc4.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossc4.bmp,13.0,7.0,13.0
47,newpossc5.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossc5.bmp,15.0,4.0,15.0
48,newpossc6.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossc6.bmp,15.0,6.0,15.0
49,newpossg1.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossg1.bmp,13.0,5.0,13.0
50,newpossg3.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossg3.bmp,14.0,7.0,14.0
51,newpossg4.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossg4.bmp,13.0,7.0,13.0
52,newpossg5.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossg5.bmp,11.0,4.0,11.0
53,newpossg6.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossg6.bmp,14.0,4.0,14.0
54,newpossg7.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossg7.bmp,13.0,5.0,13.0
55,newpossh1.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossh1.bmp,9.0,10.0,9.0
56,newpossh3.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossh3.bmp,13.0,5.0,13.0
57,newpossh4.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossh4.bmp,13.0,6.0,13.0
58,newpossh5.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossh5.bmp,13.0,2.0,13.0
59,newpossh6.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossh6.bmp,12.0,4.0,12.0
60,newpossi2.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossi2.bmp,11.0,4.0,11.0
61,newpossi3.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossi3.bmp,13.0,5.0,13.0
62,newpossi4.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossi4.bmp,13.0,5.0,13.0
63,newpossi6.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossi6.bmp,11.0,8.0,11.0
