,acc,acc_std,val_acc,val_acc_std,loss,loss_std,val_loss,val_loss_std
0,0.5625,0.05680857211740006,0.5546875,0.06269650962982029,0.6742030058056117,0.3546769724444383,0.674505566060543,0.06269650962982029
0,0.5,0.0537151347856607,0.5,0.0046394605854348766,0.693103200942278,2.3310507555418214,0.6931733816862107,0.0046394605854348766
0,0.48828125,0.05448907107157432,0.5,0.0014073208807325525,0.693240363150835,14.574807409847518,0.6931717023253441,0.0014073208807325525
0,0.70234375,0.06134958776218134,0.6390625,0.08608856960244762,0.5704046677798033,0.06880677707584514,0.7308128103613853,0.08608856960244762
0,0.653125,0.0644776651616947,0.659375,0.09099069273268304,0.6351447008550167,0.13570630778069268,0.6494925037026406,0.09099069273268304
0,0.66015625,0.06367763482199103,0.6546875,0.077531673209221,0.98810391202569,0.12686322795783822,0.6193130157887936,0.077531673209221
0,0.6609375,0.07088242252241846,0.640625,0.07827257859335732,0.64909478276968,0.2968229464535287,0.6640748143196106,0.07827257859335732
0,0.67578125,0.07565119136322114,0.640625,0.07819506761126367,0.7022398971021175,0.2630481092155943,0.645185911655426,0.07819506761126367
0,0.6734375,0.08028114135355238,0.6359375,0.07172861469383417,0.7299541272222996,0.3228412430397079,0.7105564177036285,0.07172861469383417
0,0.6890625,0.07527337773829375,0.6765625,0.08626992128224961,0.5674995582550764,0.05743304838716949,0.5919073335826397,0.08626992128224961
0,0.69375,0.07587797218016336,0.6640625,0.08687932186455409,0.5728500459343195,0.06386249854736929,0.6009871102869511,0.08687932186455409
0,0.67578125,0.06992504587097928,0.646875,0.08291290895363092,0.5902238544076681,0.048238450891738685,0.6160869181156159,0.08291290895363092
