,img_name,img_path,n_correct,n_nans,n_poss_preds
39,newpossb1.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossb1.bmp,18.0,0.0,18.0
40,newpossb2.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossb2.bmp,20.0,0.0,20.0
41,newpossb3.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossb3.bmp,19.0,0.0,19.0
42,newpossb4.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossb4.bmp,20.0,0.0,20.0
43,newpossb6.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossb6.bmp,17.0,0.0,17.0
44,newpossc1.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossc1.bmp,9.0,0.0,9.0
45,newpossc3.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossc3.bmp,20.0,0.0,20.0
46,newpossc4.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossc4.bmp,3.0,0.0,3.0
47,newpossc5.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossc5.bmp,19.0,0.0,19.0
48,newpossc6.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossc6.bmp,19.0,0.0,19.0
49,newpossg1.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossg1.bmp,20.0,0.0,20.0
50,newpossg3.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossg3.bmp,20.0,0.0,20.0
51,newpossg4.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossg4.bmp,20.0,0.0,20.0
52,newpossg5.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossg5.bmp,19.0,0.0,19.0
53,newpossg6.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossg6.bmp,19.0,0.0,19.0
54,newpossg7.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossg7.bmp,20.0,0.0,20.0
55,newpossh1.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossh1.bmp,17.0,0.0,17.0
56,newpossh3.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossh3.bmp,20.0,0.0,20.0
57,newpossh4.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossh4.bmp,20.0,0.0,20.0
58,newpossh5.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossh5.bmp,19.0,0.0,19.0
59,newpossh6.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossh6.bmp,20.0,0.0,20.0
60,newpossi2.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossi2.bmp,20.0,0.0,20.0
61,newpossi3.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossi3.bmp,20.0,0.0,20.0
62,newpossi4.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossi4.bmp,20.0,0.0,20.0
63,newpossi6.bmp,C:\Users\Peter\Impossible-Shapes-Paper\Shapes\Preprocessed\Study 1\Training\Possible\newpossi6.bmp,5.0,0.0,5.0
