,acc,epoch,loss,val_acc,val_loss
0,0.49609375,0.0,153.26738545671105,0.5,0.830903735756874
0,0.478125,1.0,0.7666713044047355,0.5,0.6942219391465188
0,0.47265625,2.0,0.7050055950880051,0.5015625,0.6938225492835045
0,0.47578125,3.0,0.6970617078244686,0.5,0.693552988767624
0,0.478125,4.0,0.6956767447292804,0.5,0.7724205538630485
0,0.48203125,5.0,0.7300813019275665,0.5,0.6932668253779412
0,0.48046875,6.0,0.6941354595124721,0.5,0.6935332104563713
0,0.49609375,7.0,0.6948167622089386,0.5,0.6934130370616913
0,0.50234375,8.0,0.6938407473266125,0.5,0.6932282254099846
0,0.49375,9.0,0.6983072452247143,0.5,0.6942194774746895
0,0.496875,10.0,0.694696569442749,0.5,0.6932358235120774
0,0.50078125,11.0,0.6933076031506061,0.5,0.6932333201169968
0,0.48046875,12.0,0.6940111875534057,0.5,0.6932260453701019
0,0.48125,13.0,0.6936052799224853,0.5,0.6932207599282265
0,0.465625,14.0,0.6935409180819988,0.5,0.693212465941906
0,0.50859375,15.0,0.6933922335505486,0.5,0.6937366768717765
0,0.49140625,16.0,0.6941970877349377,0.5,0.6931966170668602
0,0.4953125,17.0,0.6935421168804169,0.5,0.693206912279129
0,0.4984375,18.0,0.6932342149317264,0.5,0.6931817263364792
0,0.46953125,19.0,0.6940191552042961,0.5,0.6931707099080086
0,0.49765625,20.0,0.693431293964386,0.5,0.6931557580828667
0,0.48671875,21.0,0.6934597574174404,0.5,0.6931579276919365
0,0.47109375,22.0,0.6935294896364212,0.5,0.6931636482477188
0,0.4875,23.0,0.6932779848575592,0.5,0.6931626901030541
0,0.496875,24.0,0.6932390041649341,0.5,0.6931606441736221
0,0.4515625,25.0,0.6939249761402607,0.5,0.6931590348482132
0,0.471875,26.0,0.69334017932415,0.5,0.6931596174836159
0,0.4875,27.0,0.6934175185859204,0.5,0.6931590005755425
0,0.4828125,28.0,0.6934075854718685,0.5,0.69315787255764
0,0.46875,29.0,0.6937269307672977,0.5,0.6931622654199601
0,0.49140625,30.0,0.6932468928396702,0.5,0.6931609377264977
0,0.490625,31.0,0.6932888746261596,0.5,0.6931605070829392
0,0.4953125,32.0,0.6932563416659832,0.5,0.6931599393486977
0,0.5015625,33.0,0.6932444497942924,0.5,0.6931570202112198
0,0.50546875,34.0,0.693266897648573,0.5,0.6931553140282631
0,0.51171875,35.0,0.6930201351642609,0.5,0.6931556239724159
0,0.48984375,36.0,0.6933178469538689,0.5,0.69315864443779
0,0.5015625,37.0,0.6931274808943272,0.5,0.6931583642959595
0,0.50546875,38.0,0.6933304622769356,0.5,0.693159231543541
0,0.503125,39.0,0.6931365072727204,0.5,0.6931593269109726
0,0.49296875,40.0,0.693265688419342,0.5,0.6931580811738968
0,0.50859375,41.0,0.6928752154111862,0.5,0.69315964281559
0,0.490625,42.0,0.692966490238905,0.5,0.6931646853685379
0,0.5015625,43.0,0.6931495480239391,0.5,0.6931601718068123
0,0.50625,44.0,0.6930706553161144,0.5,0.6931579574942589
0,0.49375,45.0,0.693201607465744,0.5,0.6931590616703034
0,0.49765625,46.0,0.6933712422847748,0.5,0.6931560665369034
0,0.51875,47.0,0.6930402256548405,0.5,0.6931584045290947
0,0.4796875,48.0,0.6935734756290912,0.5,0.6931626856327057
0,0.5,49.0,0.6934061571955681,0.5,0.6931685313582421
0,0.490625,50.0,0.6933362603187561,0.5,0.6931669548153877
0,0.48515625,51.0,0.6936253927648067,0.5,0.6931623131036758
0,0.49140625,52.0,0.6931442692875862,0.5,0.6931631863117218
0,0.4890625,53.0,0.6935506522655487,0.5,0.6931610018014908
0,0.50546875,54.0,0.6928575351834297,0.5,0.6931650951504708
0,0.48984375,55.0,0.6934577375650406,0.5,0.6931587398052216
0,0.51640625,56.0,0.6930371269583702,0.5,0.6931597322225571
0,0.49140625,57.0,0.6933892302215099,0.5,0.6931547924876214
0,0.503125,58.0,0.6930506750941277,0.5,0.693155363202095
0,0.48671875,59.0,0.6933972090482712,0.5,0.6931585878133774
0,0.49765625,60.0,0.6934608295559883,0.5,0.693159855902195
0,0.51328125,61.0,0.6931233242154121,0.5,0.6931555926799774
0,0.46640625,62.0,0.6941542088985443,0.5,0.6931544795632363
0,0.4921875,63.0,0.6935646593570709,0.5,0.6931537345051766
0,0.51640625,64.0,0.6929783880710602,0.5,0.6931579932570457
0,0.4796875,65.0,0.694020215421915,0.5,0.6931573584675789
0,0.478125,66.0,0.6941096052527428,0.5,0.6931573763489723
0,0.49375,67.0,0.6933091193437576,0.5,0.6931566685438156
0,0.49296875,68.0,0.693891528993845,0.5,0.6931577101349831
0,0.4859375,69.0,0.6932529889047145,0.5,0.6931663990020752
0,0.515625,70.0,0.6931678593158722,0.5,0.6931654557585716
0,0.50390625,71.0,0.6931238234043121,0.5,0.6931667640805245
0,0.51796875,72.0,0.6932281605899334,0.5,0.6931608706712723
0,0.496875,73.0,0.6930231347680091,0.5,0.6931582897901535
0,0.47421875,74.0,0.693360197544098,0.5,0.693155325949192
0,0.48359375,75.0,0.6937647968530655,0.5,0.693157221376896
0,0.50703125,76.0,0.6930839702486992,0.5,0.6931587234139442
0,0.50234375,77.0,0.6931713737547398,0.5,0.6931642070412636
